name;region;subsection1;basin;klavenessPolygon
Canada;W-ATL;Atlantic;North-Atlantic;POLYGON (( -54.1 56.3, -59.4 66.6, -72.9 74.5, -122.5 77.1, -136.3 72.7, -137.1 68.4, -103.4 66.5, -97.6 50.2, -67.6 50.2, -54.1 56.3 ))
ECNA;W-ATL;Atlantic;North-Atlantic;POLYGON (( -80.5 24.3, -78.9 27.2, -74.2 35.7, -72 39.3, -67 42.6, -51.1 46.3, -54.1 56.3, -67.6 50.2, -76.2 45.1, -75.4 43.9, -84.9 35.9, -80.5 24.3 ))
Great Lakes;W-ATL;Atlantic;North-Atlantic;POLYGON (( -84.9 35.9, -75.4 43.9, -76.2 45.1, -67.6 50.2, -97.6 50.2, -84.9 35.9 ))
NCSA;W-ATL;Atlantic;North-Atlantic;POLYGON (( -61.8 5.6, -63.6 -0.6, -66.2 -2.5, -63.8 -4.9, -38.4 -7.4, -33.4 -4.1, -59.05 10.15, -61.8 5.6 ))
Panama;Atl/Pac;Atl/Pac;Atl/Pac;POLYGON (( -79.5 9.6, -79.9 9.7, -80.2 9.5, -80.3 9, -79.8 8.6, -79.3 8.7, -79.2 9.2, -79.5 9.6 ))
ECSA-Brazil;S-ATL;Atlantic;South-Atlantic;POLYGON (( -38.4 -7.4, -54.7 -33.1, -52 -34.3, -39.9 -24.1, -36.6 -12.8, -32.9 -6.2, -33.4 -4.1, -38.4 -7.4 ))
ArgUru;S-ATL;Atlantic;South-Atlantic;POLYGON (( -60.2 -29.7, -71.6 -47.3, -68.9 -58.5, -61.9 -53.8, -63.6 -49.7, -52 -34.3, -54.7 -33.1, -60.2 -29.7 ))
SouthAtlOcean;S-ATL;Atlantic;South-Atlantic;POLYGON (( -68.9 -58.5, -33 -56.5, 0 -45.2, 15 -39.4, 14.5 -29.3, 2.7 1, -9 2.4, -19.3 -0.6, -33.4 -4.1, -32.9 -6.2, -36.6 -12.8, -39.9 -24.1, -52 -34.3, -63.6 -49.7, -61.9 -53.8, -68.9 -58.5 ))
CentralAtlOcean;E-ATL;Atlantic;North-Atlantic;POLYGON (( -11.6 37.1, -11.9 43.6, -5.9 48.6, -10.6 50.9, -12.3 52.9, -29.1 52.9, -42.5 30.7, -19.6875 20, -10.8 33.1, -6.6 35.8, -11.6 37.1 ))
WestAtlOcean;W-ATL;Atlantic;North-Atlantic;POLYGON (( -59.05 10.15, -33.4 -4.1, -19.3 -0.6, -9 2.4, -19.6 11.9, -19.6875 20, -42.5 30.7, -61 18.1, -59.7 15, -59.05 10.15 ))
Gib;M/BS;Atlantic;North-Atlantic;POLYGON (( -5.35 36, -5.2 36.25, -5.5 36.2, -5.6 36.1, -5.35 36 ))
South-Cont;E-ATL;Atlantic;North-Atlantic;POLYGON (( -5.5 36.2, -5.7 37.4, 2.9 48.1, -5.9 48.6, -11.9 43.6, -11.6 37.1, -6.6 35.8, -5.35 36, -5.6 36.1, -5.5 36.2 ))
