id	port_name	lat	lon	unlocode	startTime	endTime	timezone	deleted	replacementPort	countryCode
AEAUH	Abu Dhabi	24.88151657	54.21394587	AEAUH	2018-01-31 12:01:40.5100000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEDAS	Das Island	25.14592804	52.90384769	AEDAS	2018-01-31 11:59:28.2600000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEDXB	Dubai	25.25	55.2666666666666	AEDXB	2018-01-31 11:57:26.1000000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEFJR	Fujairah	25.2118386841699	56.3676214451362	AEFJR	2018-03-06 01:20:24.0400000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEJEA	Jebel Ali	25.01126	55.06116	AEJEA	2018-05-17 06:33:25.6000000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEJED	Jebel Dhanna	24.1864	52.6554	AEJED	2018-03-06 04:31:41.4800000	9999-12-31 23:59:59.9900000	Asia/Dubai	True	AERUW	ARE
AEKHL	Khalifa	24.81004609	54.64445114	AEKHL	2018-05-03 02:38:47.9600000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEKLB	Kalba	25.01515	56.35978	AEKLB	2018-03-06 05:33:00.9100000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEKLF	Khor Fakkan	25.3333333333333	56.35	AEKLF	2018-03-06 05:27:59.5600000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEMBS	Mubarras Island	24.42532839	53.52689266	AEMBS	2018-01-31 12:00:45.8200000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEMSA	Mina Saqr	25.9723958676491	56.0565312138225	AEMSA	2018-03-06 02:41:53.9600000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEMZD	Mina Zayed	24.5166666666666	54.3666666666666	AEMZD	2018-03-06 03:04:01.2600000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AEOFJ	Fujairah	25.22527635	56.40462399	AEOFJ	2018-01-31 11:59:21.1800000	9999-12-31 23:59:59.9900000	Asia/Dubai	True	AEFJR	ARE
AEQIW	Umm Al Quwain	25.5666666666666	55.55	AEQIW	2018-01-31 12:00:52.3200000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AERKT	Ras Al Khaimah	25.7833333333333	55.95	AERKT	2018-02-15 10:59:01.7500000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AERUW	Ruwais	24.1411797595396	52.646396247007	AERUW	2018-03-06 04:46:45.6500000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AESHJ	Sharjah	25.4669014263559	55.5087925514029	AESHJ	2018-01-31 12:15:14.8600000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AESJH	Hamriyah SBM Oil Terminal	25.58500772	55.42757034	AESJH	2018-01-31 12:14:04.3600000	9999-12-31 23:59:59.9900000	Asia/Dubai	True	AESHJ	ARE
AEZUR	Zirku Island	25.01697391	52.97188997	AEZUR	2018-01-31 11:59:45.1500000	9999-12-31 23:59:59.9900000	Asia/Dubai	False	\N	ARE
AGFAM	Falmouth	17.0166666666666	-61.7833333333333	AGFAM	2018-03-22 06:28:43.2600000	9999-12-31 23:59:59.9900000	America/Antigua	False	\N	ATG
