id,imo,from,fromEta,fromEtaTimestamp,fromEts,fromEtsTimestamp,to,toEta,toEtaTimestamp,toEts,toEtsTimestamp,hoursBetweenFromEtsAndtoEtaDepDest,atSea,inAnchorageBeforeEnteringDeparture,inDeparturePort,inDepartureBerth,inAnchorageLeavingDeparture,transitAnchorageTime,inAnchorageBeforeEnteringDestinationPort,inDestinationPort,inDestinationBerth,portPolygonsVisited,berthPolygonsVisited,anchoragePolygonsVisited,destinationComponent,query,approved,approvedBy,approvedDateTime,metricScore,pathScore,disapproved,disapprovedBy,disapprovedDateTime,duplicatedId
IMO{'7033161'}-COCTG-2018-07-24NIELB-2018-09-24,7033161,COCTG,1532446559000,2018-07-24T15:35:59Z,1537631591000,2018-09-22T15:53:11Z,NIELB,1537797925000,2018-09-24T14:05:25Z,1537832233000,2018-09-24T23:37:13Z,46,46,0,0,0,0,0,0,9,0,1,0,0,Port,7033161 AND positionreceived:>=1532446559000 AND positionreceived:<=1537832233000,0,,,,,0,,,
IMO{'7033161'}-NIELB-2018-04-12COCTG-2018-07-24,7033161,NIELB,1523557307000,2018-04-12T18:21:47Z,1523602037000,2018-04-13T06:47:17Z,COCTG,1532446559000,2018-07-24T15:35:59Z,1537631591000,2018-09-22T15:53:11Z,2456,2456,0,12,0,0,0,0,1440,0,2,0,0,Port,7033161 AND positionreceived:>=1523557307000 AND positionreceived:<=1537631591000,0,,,,,0,,,
IMO{'7034878'}-ARBUE-2018-03-09USMVE-2018-03-15,7034878,ARBUE,1520611110000,2018-03-09T15:58:30Z,1520956717000,2018-03-13T15:58:37Z,USMVE,1521100185000,2018-03-15T07:49:45Z,1535702200000,2018-08-31T07:56:40Z,39,39,0,0,96,0,0,0,0,4056,0,2,0,Berth,7034878 AND positionreceived:>=1520611110000 AND positionreceived:<=1535702200000,0,,,0.008256389259944855,0.11428571428571428,0,,,
IMO{'7034878'}-ARZAE-2018-09-01USMVE-2018-09-03,7034878,ARZAE,1535816877000,2018-09-01T15:47:57Z,1535874610000,2018-09-02T07:50:10Z,USMVE,1535989467000,2018-09-03T15:44:27Z,1536969598000,2018-09-14T23:59:58Z,31,31,0,16,0,0,0,0,0,272,1,1,0,Berth,7034878 AND positionreceived:>=1535816877000 AND positionreceived:<=1536969598000,0,,,,,0,,,
IMO{'7034878'}-USMVE-2018-03-15ARZAE-2018-09-01,7034878,USMVE,1521100185000,2018-03-15T07:49:45Z,1535702200000,2018-08-31T07:56:40Z,ARZAE,1535816877000,2018-09-01T15:47:57Z,1535874610000,2018-09-02T07:50:10Z,31,31,0,0,0,0,0,0,16,0,1,0,0,Port,7034878 AND positionreceived:>=1521100185000 AND positionreceived:<=1535874610000,0,,,0.9866535819284186,0.11428571428571428,0,,,
IMO{'7034878'}-USMVE-2018-09-03UYMVD-2018-09-14,7034878,USMVE,1535989467000,2018-09-03T15:44:27Z,1536969598000,2018-09-14T23:59:58Z,UYMVD,1536969598000,2018-09-14T23:59:58Z,1536997144000,2018-09-15T07:39:04Z,0,0,0,0,0,0,0,0,7,0,1,0,0,Port,7034878 AND positionreceived:>=1535989467000 AND positionreceived:<=1536997144000,0,,,,,0,,,
IMO{'7037076'}-THMTP-2017-12-15THMTP-2018-01-05,7037076,THMTP,1513309928000,2017-12-15T03:52:08Z,1513353392000,2017-12-15T15:56:32Z,THMTP,1515196629000,2018-01-05T23:57:09Z,1515225403000,2018-01-06T07:56:43Z,512,508,0,12,0,0,3,0,7,0,2,0,1,Port,7037076 AND positionreceived:>=1513309928000 AND positionreceived:<=1515225403000,0,,,,,0,,,
IMO{'7037076'}-THMTP-2018-01-05THPKN-2018-01-12,7037076,THMTP,1515196629000,2018-01-05T23:57:09Z,1515225403000,2018-01-06T07:56:43Z,THPKN,1515760110000,2018-01-12T12:28:30Z,1515800656000,2018-01-12T23:44:16Z,148,78,0,7,0,0,69,0,11,0,2,0,1,Port,7037076 AND positionreceived:>=1515196629000 AND positionreceived:<=1515800656000,0,,,0.8622161443920003,0.6,0,,,
IMO{'7037076'}-THMTP-2018-01-25THSRI-2018-02-02,7037076,THMTP,1516864638000,2018-01-25T07:17:18Z,1516895691000,2018-01-25T15:54:51Z,THSRI,1517615958000,2018-02-02T23:59:18Z,1518623620000,2018-02-14T15:53:40Z,200,258,0,8,0,0,0,213,8,0,2,0,1,Anchorage,7037076 AND positionreceived:>=1516864638000 AND positionreceived:<=1518383537000,0,,,0.5268105070961189,1,0,,,
IMO{'7037076'}-THMTP-2018-04-02,7037076,THMTP,1522694857000,2018-04-02T18:47:37Z,1522741227000,2018-04-03T07:40:27Z,,,,,,0,39,0,12,0,0,2216,0,0,0,1,0,1,No destination,,0,,,,,0,,,
IMO{'7037076'}-THPKN-2018-01-12THMTP-2018-01-25,7037076,THPKN,1515760110000,2018-01-12T12:28:30Z,1515800656000,2018-01-12T23:44:16Z,THMTP,1516864638000,2018-01-25T07:17:18Z,1516895691000,2018-01-25T15:54:51Z,295,201,0,11,0,0,93,0,8,0,2,0,1,Port,7037076 AND positionreceived:>=1515760110000 AND positionreceived:<=1516895691000,0,,,0.6519733095192299,0.7333333333333334,0,,,
IMO{'7037076'}-THSRI-2017-12-12THMTP-2017-12-15,7037076,THSRI,1513120009000,2017-12-12T23:06:49Z,1513238242000,2017-12-14T07:57:22Z,THMTP,1513309928000,2017-12-15T03:52:08Z,1513353392000,2017-12-15T15:56:32Z,19,19,0,0,0,12,0,0,12,0,1,0,1,Port,7037076 AND positionreceived:>=1513120009000 AND positionreceived:<=1513353392000,0,,,,,0,,,
IMO{'7037076'}-THSRI-2018-02-14THMTP-2018-04-02,7037076,THSRI,1518594648000,2018-02-14T07:50:48Z,1518623620000,2018-02-14T15:53:40Z,THMTP,1522694857000,2018-04-02T18:47:37Z,1522741227000,2018-04-03T07:40:27Z,1130,296,0,8,0,0,834,0,12,0,2,0,1,Port,7037076 AND positionreceived:>=1518594648000 AND positionreceived:<=1522741227000,0,,,0.6986329973679586,1,0,,,
